% Device,CC2040004
% File name,CC2040004_20210605_095056
% Cast time (UTC),2021-06-05 09:50:56
% Cast time (local),2021-06-05 05:50:56
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,47.644524
% Start longitude,13.793641
% Start altitude,760.19000244140625
% Start GPS horizontal error(Meter),4.63700008392334
% Start GPS vertical error(Meter),12.465999603271484
% Start GPS number of satellites,7
% End latitude,47.6445279
% End longitude,13.7936405
% End altitude,766.20501708984375
% End GPS horizontal error(Meter),16.436000823974609
% End GPS vertical error(Meter),38.787998199462891
% End GPS number of satellites,7
% Cast duration (Seconds),404.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2020-10-09
% Temperature calibration date,2020-10-08
% Pressure calibration date,2020-10-06
% 
Press,Depth,Temp,Cond,Sp_cond,Sal,Sound_velocity,Density
0.15,0.15310745464670761,15.690237876055541,138.78992821927827,170.54450337945823,0.081833725224064569,1468.4404728003376,999.058841922633
0.44999999999999996,0.45907569963494649,14.542482304631987,136.02567486083854,171.99941295150376,0.082145107206211432,1464.4396414154344,999.23530203776249
0.74999999999999989,0.76507257065966228,13.733410337111307,133.04895325524547,171.74959821155798,0.081747805502305676,1461.5484742493854,999.35025467202081
1.05,1.0710473322541663,13.517497908028249,131.11763234044187,170.20528261405173,0.080948780006357135,1460.769497799128,999.38009113564783
1.35,1.3770165717170138,13.480785329414323,131.69871783633033,171.12270021118977,0.0813631675785993,1460.6413182164542,999.38670711712348
1.65,1.6829790504039353,13.1925360784084,128.26258038633398,167.91576778642539,0.079760376682890238,1459.5913802886028,999.42463786143753
1.9500000000000002,1.9889164459126145,12.171733604446512,124.28986684747849,167.18330677024281,0.079021091097066509,1455.8046623678745,999.55097232329535
2.25,2.2948213689373946,11.413918375912704,122.51546118199066,168.22614352735096,0.079189751503511568,1452.9321546871215,999.63720872058673
2.55,2.6007054927632187,10.941414928668156,120.42954445651589,167.53589792656851,0.078660332456288659,1451.1144073699427,999.68728830255736
2.85,2.9065732582716288,10.362940685081599,118.29259414650127,167.25503006089764,0.078264293034158924,1448.8589064719201,999.7445160777005
3.15,3.2124269476841003,9.9879160677214713,116.77811553154903,166.88349672715162,0.077912711205229176,1447.3808511120496,999.77968560085992
3.4499999999999997,3.5182702395594743,9.6177685129893362,115.85716189119187,167.33770960384081,0.077942217595814184,1445.9090436193583,999.8128723153319
3.75,3.8240995584642175,8.8850663620859489,113.55832372910676,167.56396832111173,0.077671588240682821,1442.9506084176067,999.8714256016724
4.05,4.1299174557830947,8.6677550708810323,112.0459540234679,166.39950271049634,0.077014837866101332,1442.0655173501898,999.887934218674
4.35,4.435728891310033,8.3029549533871858,111.10278073412499,166.8061901558452,0.077004743640328,1440.5672207684575,999.91406070377752
4.6499999999999995,4.7415338990608342,8.06821282852054,110.3949358458259,166.92002137867718,0.07692631202510776,1439.5976089603626,999.9303482627563
4.9499999999999993,5.0473343749073685,7.8514237296289942,108.43327091917084,165.0358776100378,0.075929406711240308,1438.6963689662514,999.94407802205967
5.2499999999999991,5.35312848253149,7.3666956408110629,107.29575309986643,165.75024261138594,0.075977586385612084,1436.6609900509964,999.972376385964
5.55,5.6589161475294816,7.1096825340373533,106.51571665221647,165.86230109766143,0.075874755730352531,1435.5740992430215,999.98659391947058
5.85,5.9647008158982482,7.0194688654447761,106.33323033338171,166.0446504909641,0.075903832655404554,1435.1941427787251,999.99235559039937
6.1499999999999995,6.2704832133965649,6.8480410463786221,106.25904996270261,166.82195587471637,0.076157565900665788,1434.4658055764248,1000.0018267409492
6.4499999999999993,6.5762629967965474,6.6970140544804035,105.92172848349941,167.08471072613111,0.0761844235698442,1433.8219333641268,1000.009833541055
6.7499999999999991,6.8820412883598925,6.6671390537592,104.85258728384002,165.55424711060692,0.0754574580502994,1433.6971339149429,1000.0119645131134
7.0499999999999989,7.1878181735073836,6.516197838006005,104.25231086550478,165.39480968066658,0.075287963834147653,1433.0505369141893,1000.0194127461804
7.35,7.4935930883689092,6.4033028639306631,103.9725821966482,165.54402358114609,0.075284419816940312,1432.5667237989185,1000.025231981308
7.6499999999999995,7.79936632882586,6.2910798226751838,103.53430370624412,165.43740946775773,0.075162437916132335,1432.0843450953171,1000.0307450410361
7.9499999999999993,8.1051377219419862,6.1295255156348771,102.87852778079638,165.24268532317555,0.074966859893895663,1431.3855029673623,1000.0376955961652
8.25,8.4109073544466444,6.01195606514928,101.954071584896,164.37865346305949,0.074490247643023061,1430.8760573389709,1000.0426414779472
8.5499999999999989,8.7166757972349558,5.9287318535572258,100.31657477037132,162.17376005805028,0.073417687074109408,1430.5149730300377,1000.0458578386267
8.85,9.0224432625633284,5.8165408496758539,97.945532771411862,158.91714331143385,0.071842040919072009,1430.0252388279416,1000.049415373895
9.1499999999999986,9.3282093779829527,5.6628072064856454,97.425783503700814,158.86637979299854,0.071715510826132881,1429.3529213204724,1000.0550680780909
9.45,9.63397414296432,5.5815093211118434,97.190566020762645,158.90413550267033,0.071677655703517126,1428.9986358477574,1000.0586291393388
9.75,9.93973801251392,5.5327671075870688,97.050479906361687,158.92840561156621,0.071655386238156621,1428.7877768419269,1000.061305554191
10.049999999999999,10.245501150146739,5.4909992705765758,96.956693033584457,158.992317984059,0.071655984708255127,1428.6075884807806,1000.0637970334417
10.35,10.551263501091313,5.4284743701409015,96.955031554521966,159.31628772302628,0.0717619210176081,1428.3353010522012,1000.0668317599299
