#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Water Detect,Host Connected,End of File
1,06/13/2023 14:00:00,38.425,,,
2,06/13/2023 14:10:00,38.844,,,
3,06/13/2023 14:20:00,38.983,,,
4,06/13/2023 14:30:00,38.522,,,
5,06/13/2023 14:40:00,38.361,,,
6,06/13/2023 14:50:00,33.642,,,
7,06/13/2023 15:00:00,29.438,,,
8,06/13/2023 15:07:34,,In,,
9,06/13/2023 15:10:00,20.332,,,
10,06/13/2023 15:18:04,,Out,,
11,06/13/2023 15:20:00,14.433,,,
12,06/13/2023 15:30:00,19.882,,,
13,06/13/2023 15:39:19,,In,,
14,06/13/2023 15:40:00,21.458,,,
15,06/13/2023 15:50:00,13.929,,,
16,06/13/2023 16:00:00,13.586,,,
17,06/13/2023 16:10:00,13.522,,,
18,06/13/2023 16:20:00,13.425,,,
19,06/13/2023 16:30:00,13.361,,,
20,06/13/2023 16:40:00,13.500,,,
21,06/13/2023 16:50:00,13.446,,,
22,06/13/2023 17:00:00,13.436,,,
23,06/13/2023 17:10:00,13.511,,,
24,06/13/2023 17:20:00,13.232,,,
25,06/13/2023 17:30:00,13.178,,,
26,06/13/2023 17:40:00,13.050,,,
27,06/13/2023 17:50:00,13.232,,,
28,06/13/2023 18:00:00,13.629,,,
29,06/13/2023 18:08:34,,Out,,
30,06/13/2023 18:10:00,14.272,,,
31,06/13/2023 18:20:00,14.337,,,
32,06/13/2023 18:23:19,,In,,
33,06/13/2023 18:28:49,,Out,,
34,06/13/2023 18:29:19,,In,,
35,06/13/2023 18:29:34,,Out,,
36,06/13/2023 18:30:00,14.766,In,,
37,06/13/2023 18:30:04,,Out,,
38,06/13/2023 18:35:19,,In,,
39,06/13/2023 18:38:34,,Out,,
40,06/13/2023 18:38:49,,In,,
41,06/13/2023 18:40:00,14.948,,,
42,06/13/2023 18:40:49,,Out,,
43,06/13/2023 18:41:04,,In,,
44,06/13/2023 18:42:04,,Out,,
45,06/13/2023 18:45:34,,In,,
46,06/13/2023 18:50:00,15.495,,,
47,06/13/2023 19:00:00,15.538,,,
48,06/13/2023 19:10:00,15.592,,,
