#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Stopped,End of File
1,06/11/2023 16:01:00,19.538,,,,
2,06/11/2023 16:01:45,19.377,,,,
3,06/11/2023 16:02:30,19.270,,,,
4,06/11/2023 16:03:15,19.195,,,,
5,06/11/2023 16:04:00,19.142,,,,
6,06/11/2023 16:04:45,19.099,,,,
7,06/11/2023 16:05:30,19.077,,,,
8,06/11/2023 16:06:15,19.066,,,,
9,06/11/2023 16:07:00,19.045,,,,
10,06/11/2023 16:07:33,,Logged,,,
11,06/11/2023 16:07:35,,,Logged,,
12,06/11/2023 16:07:45,19.056,,,,
13,06/11/2023 16:08:02,,Logged,,,
14,06/11/2023 16:08:03,,,Logged,,
15,06/11/2023 16:08:05,,Logged,Logged,,
16,06/11/2023 16:08:06,,Logged,Logged,,
17,06/11/2023 16:08:07,,,Logged,,
18,06/11/2023 16:08:08,,Logged,,,
19,06/11/2023 16:08:16,,Logged,Logged,,
20,06/11/2023 16:08:17,,,Logged,,
21,06/11/2023 16:08:30,19.077,,,,
22,06/11/2023 16:08:44,,Logged,,,
23,06/11/2023 16:08:46,,,Logged,,
24,06/11/2023 16:09:13,,Logged,Logged,,
25,06/11/2023 16:09:15,19.077,,,,
26,06/11/2023 16:10:00,19.077,,,,
27,06/11/2023 16:10:45,19.077,,,,
28,06/11/2023 16:11:15,,Logged,Logged,,
29,06/11/2023 16:11:16,,Logged,Logged,,
30,06/11/2023 16:11:17,,Logged,Logged,,
31,06/11/2023 16:11:18,,,Logged,,
32,06/11/2023 16:11:26,,Logged,,,
33,06/11/2023 16:11:27,,,Logged,,
34,06/11/2023 16:11:30,19.077,,,,
35,06/11/2023 16:12:15,19.088,,,,
36,06/11/2023 16:13:00,19.099,,,,
37,06/11/2023 16:13:45,19.077,,,,
38,06/11/2023 16:14:30,19.077,,,,
39,06/11/2023 16:15:15,19.088,,,,
40,06/11/2023 16:16:00,19.077,,,,
41,06/11/2023 16:16:45,19.077,,,,
42,06/11/2023 16:17:18,,Logged,Logged,,
43,06/11/2023 16:17:19,,Logged,,,
44,06/11/2023 16:17:20,,Logged,Logged,,
45,06/11/2023 16:17:21,,Logged,Logged,,
46,06/11/2023 16:17:23,,,Logged,,
47,06/11/2023 16:17:30,19.077,,,,
48,06/11/2023 16:18:15,19.088,,,,
49,06/11/2023 16:18:16,,Logged,,,
50,06/11/2023 16:18:17,,,Logged,,
51,06/11/2023 16:18:24,,Logged,Logged,,
52,06/11/2023 16:18:46,,Logged,Logged,,
53,06/11/2023 16:19:00,19.099,,,,
54,06/11/2023 16:19:45,19.109,,,,
55,06/11/2023 16:20:30,19.099,,,,
56,06/11/2023 16:21:15,19.045,,,,
57,06/11/2023 16:22:00,17.704,,,,
58,06/11/2023 16:22:45,15.345,,,,
59,06/11/2023 16:23:30,12.878,,,,
60,06/11/2023 16:24:15,10.615,,,,
61,06/11/2023 16:25:00,8.803,,,,
62,06/11/2023 16:25:45,7.451,,,,
63,06/11/2023 16:26:30,6.411,,,,
64,06/11/2023 16:27:15,5.617,,,,
65,06/11/2023 16:28:00,5.017,,,,
66,06/11/2023 16:28:45,4.577,,,,
67,06/11/2023 16:29:30,4.255,,,,
68,06/11/2023 16:30:15,4.019,,,,
69,06/11/2023 16:31:00,3.858,,,,
70,06/11/2023 16:31:45,3.772,,,,
71,06/11/2023 16:32:30,3.708,,,,
72,06/11/2023 16:33:15,3.687,,,,
73,06/11/2023 16:34:00,3.687,,,,
74,06/11/2023 16:34:45,3.708,,,,
75,06/11/2023 16:35:30,3.762,,,,
76,06/11/2023 16:36:15,3.815,,,,
77,06/11/2023 16:37:00,3.880,,,,
78,06/11/2023 16:37:45,3.966,,,,
79,06/11/2023 16:38:30,4.041,,,,
80,06/11/2023 16:39:15,4.116,,,,
81,06/11/2023 16:40:00,4.212,,,,
82,06/11/2023 16:40:45,4.298,,,,
83,06/11/2023 16:41:30,4.395,,,,
84,06/11/2023 16:42:15,4.512,,,,
85,06/11/2023 16:43:00,4.630,,,,
86,06/11/2023 16:43:45,4.781,,,,
87,06/11/2023 16:44:30,4.909,,,,
88,06/11/2023 16:45:15,5.038,,,,
89,06/11/2023 16:46:00,5.167,,,,
90,06/11/2023 16:46:45,5.285,,,,
91,06/11/2023 16:47:30,5.403,,,,
92,06/11/2023 16:48:15,5.521,,,,
93,06/11/2023 16:49:00,5.639,,,,
94,06/11/2023 16:49:45,5.746,,,,
95,06/11/2023 16:50:30,5.864,,,,
96,06/11/2023 16:51:15,5.971,,,,
97,06/11/2023 16:52:00,6.078,,,,
98,06/11/2023 16:52:45,6.186,,,,
99,06/11/2023 16:53:30,6.304,,,,
100,06/11/2023 16:54:15,6.432,,,,
101,06/11/2023 16:55:00,6.540,,,,
102,06/11/2023 16:55:45,6.647,,,,
103,06/11/2023 16:56:30,6.765,,,,
104,06/11/2023 16:57:15,6.872,,,,
105,06/11/2023 16:58:00,6.969,,,,
106,06/11/2023 16:58:45,7.076,,,,
107,06/11/2023 16:59:30,7.194,,,,
108,06/11/2023 16:59:59,,,,Logged,Logged
