#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Stopped,End of File
1,06/11/2023 16:01:00,19.646,,,,
2,06/11/2023 16:01:30,19.538,,,,
3,06/11/2023 16:02:00,19.453,,,,
4,06/11/2023 16:02:30,19.377,,,,
5,06/11/2023 16:03:00,19.324,,,,
6,06/11/2023 16:03:30,19.281,,,,
7,06/11/2023 16:04:00,19.238,,,,
8,06/11/2023 16:04:30,19.195,,,,
9,06/11/2023 16:05:00,19.163,,,,
10,06/11/2023 16:05:30,19.142,,,,
11,06/11/2023 16:06:00,19.109,,,,
12,06/11/2023 16:06:30,19.109,,,,
13,06/11/2023 16:07:00,19.099,,,,
14,06/11/2023 16:07:30,19.088,,,,
15,06/11/2023 16:08:00,19.088,,,,
16,06/11/2023 16:08:30,19.077,,,,
17,06/11/2023 16:09:00,19.077,,,,
18,06/11/2023 16:09:30,19.077,,,,
19,06/11/2023 16:10:00,19.077,,,,
20,06/11/2023 16:10:30,19.077,,,,
21,06/11/2023 16:11:00,19.077,,,,
22,06/11/2023 16:11:16,,Logged,Logged,,
23,06/11/2023 16:11:17,,,Logged,,
24,06/11/2023 16:11:30,19.077,,,,
25,06/11/2023 16:12:00,19.099,,,,
26,06/11/2023 16:12:30,19.099,,,,
27,06/11/2023 16:12:42,,Logged,Logged,,
28,06/11/2023 16:12:53,,Logged,Logged,,
29,06/11/2023 16:12:58,,Logged,,,
30,06/11/2023 16:13:00,19.099,,,,
31,06/11/2023 16:13:05,,,Logged,,
32,06/11/2023 16:13:30,19.109,,,,
33,06/11/2023 16:14:00,19.109,,,,
34,06/11/2023 16:14:30,19.109,,,,
35,06/11/2023 16:15:00,19.109,,,,
36,06/11/2023 16:15:30,19.099,,,,
37,06/11/2023 16:16:00,19.099,,,,
38,06/11/2023 16:16:30,19.099,,,,
39,06/11/2023 16:17:00,19.099,,,,
40,06/11/2023 16:17:30,19.099,,,,
41,06/11/2023 16:18:00,19.099,,,,
42,06/11/2023 16:18:30,19.099,,,,
43,06/11/2023 16:19:00,19.088,,,,
44,06/11/2023 16:19:30,19.088,,,,
45,06/11/2023 16:20:00,19.077,,,,
46,06/11/2023 16:20:30,19.077,,,,
47,06/11/2023 16:21:00,19.088,,,,
48,06/11/2023 16:21:30,18.670,,,,
49,06/11/2023 16:22:00,17.383,,,,
50,06/11/2023 16:22:30,15.731,,,,
51,06/11/2023 16:23:00,13.993,,,,
52,06/11/2023 16:23:30,12.385,,,,
53,06/11/2023 16:24:00,10.905,,,,
54,06/11/2023 16:24:30,9.671,,,,
55,06/11/2023 16:25:00,8.599,,,,
56,06/11/2023 16:25:30,7.666,,,,
57,06/11/2023 16:26:00,6.915,,,,
