#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Stopped,End of File
1,06/11/2023 15:47:31,,Logged,,,
2,06/11/2023 15:47:33,,Logged,Logged,,
3,06/11/2023 15:47:34,,,Logged,,
4,06/11/2023 16:01:00,19.581,,,,
5,06/11/2023 16:01:30,19.463,,,,
6,06/11/2023 16:02:00,19.377,,,,
7,06/11/2023 16:02:30,19.302,,,,
8,06/11/2023 16:03:00,19.249,,,,
9,06/11/2023 16:03:30,19.206,,,,
10,06/11/2023 16:04:00,19.174,,,,
11,06/11/2023 16:04:30,19.163,,,,
12,06/11/2023 16:05:00,19.131,,,,
13,06/11/2023 16:05:30,19.120,,,,
14,06/11/2023 16:06:00,19.109,,,,
15,06/11/2023 16:06:30,19.088,,,,
16,06/11/2023 16:07:00,19.099,,,,
17,06/11/2023 16:07:30,19.099,,,,
18,06/11/2023 16:08:00,19.088,,,,
19,06/11/2023 16:08:30,19.088,,,,
20,06/11/2023 16:09:00,19.088,,,,
21,06/11/2023 16:09:30,19.088,,,,
22,06/11/2023 16:10:00,19.088,,,,
23,06/11/2023 16:10:30,19.099,,,,
24,06/11/2023 16:11:00,19.088,,,,
25,06/11/2023 16:11:30,19.099,,,,
26,06/11/2023 16:12:00,19.088,,,,
27,06/11/2023 16:12:30,19.099,,,,
28,06/11/2023 16:13:00,19.099,,,,
29,06/11/2023 16:13:30,19.099,,,,
30,06/11/2023 16:14:00,19.109,,,,
31,06/11/2023 16:14:30,19.109,,,,
32,06/11/2023 16:15:00,19.109,,,,
33,06/11/2023 16:15:30,19.109,,,,
34,06/11/2023 16:16:00,19.109,,,,
35,06/11/2023 16:16:30,19.109,,,,
36,06/11/2023 16:17:00,19.109,,,,
37,06/11/2023 16:17:30,19.109,,,,
38,06/11/2023 16:18:00,19.109,,,,
39,06/11/2023 16:18:30,19.109,,,,
40,06/11/2023 16:19:00,19.109,,,,
41,06/11/2023 16:19:30,19.109,,,,
42,06/11/2023 16:20:00,19.109,,,,
43,06/11/2023 16:20:30,19.109,,,,
44,06/11/2023 16:21:00,19.109,,,,
45,06/11/2023 16:21:30,18.788,,,,
46,06/11/2023 16:22:00,17.436,,,,
47,06/11/2023 16:22:30,15.709,,,,
48,06/11/2023 16:23:00,13.908,,,,
49,06/11/2023 16:23:30,12.127,,,,
50,06/11/2023 16:24:00,10.626,,,,
51,06/11/2023 16:24:30,9.350,,,,
52,06/11/2023 16:25:00,8.320,,,,
53,06/11/2023 16:25:30,7.462,,,,
54,06/11/2023 16:26:00,6.775,,,,
55,06/11/2023 16:26:30,6.186,,,,
56,06/11/2023 16:27:00,5.671,,,,
57,06/11/2023 16:27:30,5.242,,,,
58,06/11/2023 16:28:00,4.899,,,,
59,06/11/2023 16:28:30,4.609,,,,
60,06/11/2023 16:29:00,4.373,,,,
61,06/11/2023 16:29:30,4.180,,,,
62,06/11/2023 16:30:00,4.030,,,,
63,06/11/2023 16:30:30,3.923,,,,
64,06/11/2023 16:31:00,3.826,,,,
65,06/11/2023 16:31:30,3.772,,,,
66,06/11/2023 16:32:00,3.719,,,,
67,06/11/2023 16:32:30,3.697,,,,
68,06/11/2023 16:33:00,3.676,,,,
69,06/11/2023 16:33:30,3.665,,,,
70,06/11/2023 16:34:00,3.687,,,,
71,06/11/2023 16:34:30,3.708,,,,
72,06/11/2023 16:35:00,3.730,,,,
73,06/11/2023 16:35:30,3.772,,,,
74,06/11/2023 16:36:00,3.805,,,,
75,06/11/2023 16:36:30,3.848,,,,
76,06/11/2023 16:37:00,3.890,,,,
77,06/11/2023 16:37:30,3.944,,,,
78,06/11/2023 16:38:00,3.987,,,,
79,06/11/2023 16:38:30,4.062,,,,
80,06/11/2023 16:39:00,4.116,,,,
81,06/11/2023 16:39:15,,Logged,Logged,,
82,06/11/2023 16:39:16,,Logged,,,
83,06/11/2023 16:39:21,,,Logged,,
84,06/11/2023 16:39:30,4.169,,,,
85,06/11/2023 16:40:00,4.244,,,,
86,06/11/2023 16:40:30,4.309,,,,
87,06/11/2023 16:41:00,4.352,,,,
88,06/11/2023 16:41:30,4.416,,,,
89,06/11/2023 16:42:00,4.491,,,,
90,06/11/2023 16:42:30,4.566,,,,
91,06/11/2023 16:43:00,4.641,,,,
92,06/11/2023 16:43:30,4.716,,,,
93,06/11/2023 16:44:00,4.802,,,,
94,06/11/2023 16:44:30,4.888,,,,
95,06/11/2023 16:45:00,4.984,,,,
96,06/11/2023 16:45:30,5.070,,,,
97,06/11/2023 16:46:00,5.167,,,,
98,06/11/2023 16:46:30,5.253,,,,
99,06/11/2023 16:47:00,5.349,,,,
100,06/11/2023 16:47:30,5.413,,,,
101,06/11/2023 16:48:00,5.499,,,,
102,06/11/2023 16:48:30,5.574,,,,
103,06/11/2023 16:49:00,5.639,,,,
104,06/11/2023 16:49:30,5.724,,,,
105,06/11/2023 16:50:00,5.789,,,,
106,06/11/2023 16:50:30,5.875,,,,
107,06/11/2023 16:51:00,5.960,,,,
108,06/11/2023 16:51:30,6.025,,,,
109,06/11/2023 16:52:00,6.100,,,,
110,06/11/2023 16:52:30,6.164,,,,
111,06/11/2023 16:53:00,6.261,,,,
112,06/11/2023 16:53:30,6.336,,,,
113,06/11/2023 16:54:00,6.422,,,,
114,06/11/2023 16:54:30,6.486,,,,
115,06/11/2023 16:55:00,6.561,,,,
116,06/11/2023 16:55:30,6.636,,,,
117,06/11/2023 16:56:00,6.711,,,,
118,06/11/2023 16:56:30,6.786,,,,
119,06/11/2023 16:57:00,6.851,,,,
120,06/11/2023 16:57:30,6.936,,,,
121,06/11/2023 16:58:00,6.990,,,,
122,06/11/2023 16:58:30,7.076,,,,
123,06/11/2023 16:59:00,7.140,,,,
124,06/11/2023 16:59:30,7.226,,,,
125,06/11/2023 16:59:59,,,,Logged,Logged
