#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Host Connected,Button Down,Button Up,Stopped,End of File
130,06/11/2023 16:51:00,5.928,,,,,
131,06/11/2023 16:51:30,6.014,,,,,
132,06/11/2023 16:52:00,6.078,,,,,
133,06/11/2023 16:52:30,6.164,,,,,
134,06/11/2023 16:53:00,6.261,,,,,
135,06/11/2023 16:53:30,6.346,,,,,
136,06/11/2023 16:54:00,6.422,,,,,
137,06/11/2023 16:54:30,6.486,,,,,
138,06/11/2023 16:55:00,6.572,,,,,
139,06/11/2023 16:55:30,6.647,,,,,
140,06/11/2023 16:56:00,6.722,,,,,
141,06/11/2023 16:56:30,6.775,,,,,
142,06/11/2023 16:57:00,6.851,,,,,
143,06/11/2023 16:57:30,6.915,,,,,
144,06/11/2023 16:58:00,7.001,,,,,
145,06/11/2023 16:58:30,7.044,,,,,
146,06/11/2023 16:59:00,7.140,,,,,
147,06/11/2023 16:59:30,7.204,,,,,
148,06/11/2023 16:59:59,,,,,Logged,Logged
