#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Stopped,End of File
1,06/11/2023 16:01:00,19.817,,,,
2,06/11/2023 16:01:30,19.678,,,,
3,06/11/2023 16:02:00,19.560,,,,
4,06/11/2023 16:02:30,19.474,,,,
5,06/11/2023 16:03:00,19.399,,,,
6,06/11/2023 16:03:30,19.335,,,,
7,06/11/2023 16:04:00,19.292,,,,
8,06/11/2023 16:04:30,19.238,,,,
9,06/11/2023 16:05:00,19.195,,,,
10,06/11/2023 16:05:30,19.163,,,,
11,06/11/2023 16:06:00,19.142,,,,
12,06/11/2023 16:06:30,19.131,,,,
13,06/11/2023 16:07:00,19.109,,,,
14,06/11/2023 16:07:30,19.099,,,,
15,06/11/2023 16:08:00,19.088,,,,
16,06/11/2023 16:08:30,19.077,,,,
17,06/11/2023 16:09:00,19.077,,,,
18,06/11/2023 16:09:30,19.077,,,,
19,06/11/2023 16:10:00,19.066,,,,
20,06/11/2023 16:10:30,19.066,,,,
21,06/11/2023 16:11:00,19.056,,,,
22,06/11/2023 16:11:30,19.066,,,,
23,06/11/2023 16:12:00,19.066,,,,
24,06/11/2023 16:12:30,19.066,,,,
25,06/11/2023 16:13:00,19.066,,,,
26,06/11/2023 16:13:30,19.066,,,,
27,06/11/2023 16:14:00,19.066,,,,
28,06/11/2023 16:14:30,19.056,,,,
29,06/11/2023 16:15:00,19.066,,,,
30,06/11/2023 16:15:30,19.056,,,,
31,06/11/2023 16:16:00,19.066,,,,
32,06/11/2023 16:16:30,19.066,,,,
33,06/11/2023 16:17:00,19.066,,,,
34,06/11/2023 16:17:30,19.066,,,,
35,06/11/2023 16:18:00,19.077,,,,
36,06/11/2023 16:18:30,19.077,,,,
37,06/11/2023 16:19:00,19.077,,,,
38,06/11/2023 16:19:30,19.077,,,,
39,06/11/2023 16:20:00,19.077,,,,
40,06/11/2023 16:20:30,19.077,,,,
41,06/11/2023 16:21:00,19.077,,,,
42,06/11/2023 16:21:30,18.723,,,,
43,06/11/2023 16:22:00,17.490,,,,
44,06/11/2023 16:22:30,15.935,,,,
45,06/11/2023 16:23:00,14.358,,,,
46,06/11/2023 16:23:30,12.739,,,,
47,06/11/2023 16:24:00,11.237,,,,
48,06/11/2023 16:24:30,9.961,,,,
49,06/11/2023 16:25:00,8.856,,,,
50,06/11/2023 16:25:30,7.955,,,,
51,06/11/2023 16:26:00,7.183,,,,
52,06/11/2023 16:26:30,6.540,,,,
53,06/11/2023 16:27:00,5.982,,,,
54,06/11/2023 16:27:30,5.510,,,,
55,06/11/2023 16:28:00,5.124,,,,
56,06/11/2023 16:28:30,4.813,,,,
57,06/11/2023 16:29:00,4.545,,,,
58,06/11/2023 16:29:30,4.341,,,,
59,06/11/2023 16:30:00,4.169,,,,
60,06/11/2023 16:30:30,4.041,,,,
61,06/11/2023 16:31:00,3.923,,,,
62,06/11/2023 16:31:30,3.848,,,,
63,06/11/2023 16:32:00,3.772,,,,
64,06/11/2023 16:32:30,3.740,,,,
65,06/11/2023 16:33:00,3.708,,,,
66,06/11/2023 16:33:30,3.697,,,,
67,06/11/2023 16:34:00,3.708,,,,
68,06/11/2023 16:34:30,3.708,,,,
69,06/11/2023 16:35:00,3.730,,,,
70,06/11/2023 16:35:30,3.762,,,,
71,06/11/2023 16:36:00,3.783,,,,
72,06/11/2023 16:36:30,3.826,,,,
73,06/11/2023 16:37:00,3.869,,,,
74,06/11/2023 16:37:30,3.923,,,,
75,06/11/2023 16:38:00,3.976,,,,
76,06/11/2023 16:38:30,4.030,,,,
77,06/11/2023 16:39:00,4.083,,,,
78,06/11/2023 16:39:30,4.148,,,,
79,06/11/2023 16:40:00,4.223,,,,
80,06/11/2023 16:40:30,4.255,,,,
81,06/11/2023 16:41:00,4.319,,,,
82,06/11/2023 16:41:30,4.373,,,,
83,06/11/2023 16:42:00,4.437,,,,
84,06/11/2023 16:42:30,4.512,,,,
85,06/11/2023 16:43:00,4.577,,,,
86,06/11/2023 16:43:30,4.663,,,,
87,06/11/2023 16:44:00,4.748,,,,
88,06/11/2023 16:44:30,4.834,,,,
89,06/11/2023 16:45:00,4.931,,,,
90,06/11/2023 16:45:30,5.027,,,,
91,06/11/2023 16:46:00,5.124,,,,
92,06/11/2023 16:46:30,5.199,,,,
93,06/11/2023 16:47:00,5.285,,,,
94,06/11/2023 16:47:30,5.360,,,,
95,06/11/2023 16:48:00,5.435,,,,
96,06/11/2023 16:48:30,5.521,,,,
97,06/11/2023 16:49:00,5.596,,,,
98,06/11/2023 16:49:30,5.671,,,,
99,06/11/2023 16:50:00,5.746,,,,
100,06/11/2023 16:50:30,5.821,,,,
101,06/11/2023 16:51:00,5.896,,,,
102,06/11/2023 16:51:30,5.982,,,,
103,06/11/2023 16:52:00,6.046,,,,
104,06/11/2023 16:52:30,6.132,,,,
105,06/11/2023 16:53:00,6.196,,,,
106,06/11/2023 16:53:30,6.271,,,,
107,06/11/2023 16:53:43,,Logged,Logged,,
108,06/11/2023 16:54:00,6.368,,,,
