#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Host Connected,Button Down,Button Up,Stopped,End of File
96,06/11/2023 16:46:00,5.145,,,,,
97,06/11/2023 16:46:30,5.220,,,,,
98,06/11/2023 16:47:00,5.317,,,,,
99,06/11/2023 16:47:30,5.381,,,,,
100,06/11/2023 16:48:00,5.467,,,,,
101,06/11/2023 16:48:30,5.542,,,,,
102,06/11/2023 16:49:00,5.628,,,,,
103,06/11/2023 16:49:30,5.703,,,,,
104,06/11/2023 16:50:00,5.778,,,,,
105,06/11/2023 16:50:30,5.853,,,,,
106,06/11/2023 16:51:00,5.928,,,,,
107,06/11/2023 16:51:30,6.014,,,,,
108,06/11/2023 16:52:00,6.089,,,,,
109,06/11/2023 16:52:30,6.153,,,,,
110,06/11/2023 16:53:00,6.239,,,,,
111,06/11/2023 16:53:30,6.304,,,,,
112,06/11/2023 16:54:00,6.389,,,,,
113,06/11/2023 16:54:30,6.475,,,,,
114,06/11/2023 16:55:00,6.550,,,,,
115,06/11/2023 16:55:30,6.615,,,,,
116,06/11/2023 16:56:00,6.700,,,,,
117,06/11/2023 16:56:30,6.765,,,,,
118,06/11/2023 16:57:00,6.840,,,,,
119,06/11/2023 16:57:30,6.915,,,,,
120,06/11/2023 16:58:00,6.979,,,,,
121,06/11/2023 16:58:30,7.044,,,,,
122,06/11/2023 16:59:00,7.119,,,,,
123,06/11/2023 16:59:30,7.194,,,,,
124,06/11/2023 16:59:59,,,,,Logged,Logged
