#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Host Connected,Button Down,Button Up,Stopped,End of File
1,06/11/2023 15:32:19,,Logged,,,,
2,06/11/2023 16:00:31,,,Logged,Logged,,
3,06/11/2023 16:01:00,19.882,,,,,
4,06/11/2023 16:01:30,19.742,,,,,
5,06/11/2023 16:02:00,19.603,,,,,
6,06/11/2023 16:02:30,19.506,,,,,
7,06/11/2023 16:03:00,19.420,,,,,
8,06/11/2023 16:03:30,19.367,,,,,
9,06/11/2023 16:04:00,19.302,,,,,
10,06/11/2023 16:04:30,19.281,,,,,
11,06/11/2023 16:05:00,19.227,,,,,
12,06/11/2023 16:05:30,19.206,,,,,
13,06/11/2023 16:06:00,19.163,,,,,
14,06/11/2023 16:06:30,19.142,,,,,
15,06/11/2023 16:07:00,19.131,,,,,
16,06/11/2023 16:07:30,19.109,,,,,
17,06/11/2023 16:08:00,19.099,,,,,
18,06/11/2023 16:08:30,19.088,,,,,
19,06/11/2023 16:09:00,19.088,,,,,
20,06/11/2023 16:09:30,19.088,,,,,
21,06/11/2023 16:10:00,19.088,,,,,
22,06/11/2023 16:10:30,19.088,,,,,
23,06/11/2023 16:11:00,19.077,,,,,
24,06/11/2023 16:11:30,19.077,,,,,
25,06/11/2023 16:12:00,19.077,,,,,
26,06/11/2023 16:12:30,19.077,,,,,
27,06/11/2023 16:13:00,19.077,,,,,
28,06/11/2023 16:13:30,19.077,,,,,
29,06/11/2023 16:14:00,19.077,,,,,
30,06/11/2023 16:14:30,19.077,,,,,
31,06/11/2023 16:15:00,19.077,,,,,
32,06/11/2023 16:15:30,19.077,,,,,
33,06/11/2023 16:16:00,19.077,,,,,
34,06/11/2023 16:16:30,19.077,,,,,
35,06/11/2023 16:17:00,19.077,,,,,
36,06/11/2023 16:17:30,19.077,,,,,
37,06/11/2023 16:18:00,19.088,,,,,
38,06/11/2023 16:18:21,,,Logged,Logged,,
39,06/11/2023 16:18:22,,,,Logged,,
40,06/11/2023 16:18:24,,,Logged,Logged,,
41,06/11/2023 16:18:30,19.077,,,,,
42,06/11/2023 16:19:00,19.088,,,,,
43,06/11/2023 16:19:30,19.099,,,,,
44,06/11/2023 16:20:00,19.099,,,,,
45,06/11/2023 16:20:30,19.088,,,,,
46,06/11/2023 16:21:00,19.077,,,,,
47,06/11/2023 16:21:30,18.755,,,,,
48,06/11/2023 16:22:00,17.608,,,,,
49,06/11/2023 16:22:30,16.074,,,,,
50,06/11/2023 16:23:00,14.412,,,,,
51,06/11/2023 16:23:30,12.717,,,,,
52,06/11/2023 16:24:00,11.226,,,,,
53,06/11/2023 16:24:30,9.929,,,,,
54,06/11/2023 16:25:00,8.803,,,,,
55,06/11/2023 16:25:30,7.837,,,,,
56,06/11/2023 16:26:00,7.054,,,,,
57,06/11/2023 16:26:30,6.422,,,,,
58,06/11/2023 16:27:00,5.875,,,,,
59,06/11/2023 16:27:30,5.403,,,,,
60,06/11/2023 16:28:00,5.027,,,,,
61,06/11/2023 16:28:30,4.706,,,,,
62,06/11/2023 16:29:00,4.448,,,,,
63,06/11/2023 16:29:30,4.234,,,,,
64,06/11/2023 16:30:00,4.083,,,,,
65,06/11/2023 16:30:30,3.955,,,,,
66,06/11/2023 16:31:00,3.858,,,,,
67,06/11/2023 16:31:30,3.783,,,,,
68,06/11/2023 16:32:00,3.740,,,,,
69,06/11/2023 16:32:30,3.708,,,,,
70,06/11/2023 16:33:00,3.687,,,,,
71,06/11/2023 16:33:30,3.676,,,,,
72,06/11/2023 16:34:00,3.687,,,,,
73,06/11/2023 16:34:30,3.697,,,,,
74,06/11/2023 16:35:00,3.719,,,,,
75,06/11/2023 16:35:30,3.751,,,,,
76,06/11/2023 16:36:00,3.794,,,,,
77,06/11/2023 16:36:30,3.826,,,,,
78,06/11/2023 16:37:00,3.880,,,,,
79,06/11/2023 16:37:30,3.912,,,,,
80,06/11/2023 16:38:00,3.976,,,,,
81,06/11/2023 16:38:30,4.030,,,,,
82,06/11/2023 16:39:00,4.083,,,,,
83,06/11/2023 16:39:30,4.137,,,,,
84,06/11/2023 16:40:00,4.201,,,,,
85,06/11/2023 16:40:30,4.266,,,,,
86,06/11/2023 16:41:00,4.330,,,,,
87,06/11/2023 16:41:30,4.405,,,,,
88,06/11/2023 16:42:00,4.470,,,,,
89,06/11/2023 16:42:30,4.545,,,,,
90,06/11/2023 16:43:00,4.630,,,,,
91,06/11/2023 16:43:30,4.716,,,,,
92,06/11/2023 16:44:00,4.802,,,,,
93,06/11/2023 16:44:30,4.888,,,,,
94,06/11/2023 16:45:00,4.974,,,,,
95,06/11/2023 16:45:30,5.070,,,,,
