Time,Depth,Conductivity,Temperature
06/14/2023 06:21:50,-9.68,151.5,15.02
06/14/2023 06:21:51,-9.53,151.7,15.02
06/14/2023 06:21:52,-8.83,148.3,14.9
06/14/2023 06:21:53,-8.14,144.1,14.24
06/14/2023 06:21:54,-7.71,140.9,13.6
06/14/2023 06:21:55,-7.17,134.2,12.7
06/14/2023 06:21:56,-7.17,131.2,11.37
06/14/2023 06:21:57,-6.87,129.6,10.73
06/14/2023 06:21:58,-6.44,128.1,10.07
06/14/2023 06:21:59,-6.11,125.1,9.34
06/14/2023 06:22:00,-5.44,123.9,8.58
06/14/2023 06:22:01,-4.9,121.9,8.03
06/14/2023 06:22:02,-4.11,120.0,7.53
06/14/2023 06:22:03,-3.6,119.1,7.13
06/14/2023 06:22:04,-3.54,118.5,6.84
06/14/2023 06:22:05,-3.48,118.0,6.67
06/14/2023 06:22:06,-3.36,118.2,6.56
06/14/2023 06:22:07,-3.12,117.6,6.46
06/14/2023 06:22:08,-2.93,117.6,6.3
06/14/2023 06:22:09,-2.51,116.5,6.19
06/14/2023 06:22:10,-2.45,115.8,6.01
06/14/2023 06:22:11,-2.24,115.8,5.86
06/14/2023 06:22:12,-1.85,115.8,5.69
06/14/2023 06:22:14,-1.12,115.2,5.45
06/14/2023 06:22:15,-0.79,115.8,5.37
06/14/2023 06:22:16,-0.21,115.2,5.36
06/14/2023 06:22:17,0.36,115.2,5.33
06/14/2023 06:22:18,1.0,115.6,5.3
06/14/2023 06:22:19,1.57,115.4,5.26
06/14/2023 06:22:20,1.75,115.1,5.22
06/14/2023 06:22:21,2.45,115.6,5.18
06/14/2023 06:22:22,2.81,115.2,5.14
06/14/2023 06:22:23,3.54,115.6,5.12
06/14/2023 06:22:24,3.9,115.5,5.12
06/14/2023 06:22:25,4.11,115.6,5.11
06/14/2023 06:22:26,4.81,116.0,5.11
06/14/2023 06:22:27,5.72,115.3,5.09
06/14/2023 06:22:28,6.44,115.3,5.09
06/14/2023 06:22:29,7.14,115.6,5.07
06/14/2023 06:22:30,7.29,115.2,5.04
06/14/2023 06:22:31,7.74,115.4,5.04
06/14/2023 06:22:32,8.56,114.9,5.03
06/14/2023 06:22:33,9.4,115.4,5.02
06/14/2023 06:22:34,10.22,115.4,5.01
06/14/2023 06:22:35,11.1,115.1,5.02
06/14/2023 06:22:36,11.98,115.1,5.01
06/14/2023 06:22:37,13.06,115.1,5.0
06/14/2023 06:22:38,14.09,115.4,5.01
06/14/2023 06:22:39,15.12,115.8,5.01
06/14/2023 06:22:40,16.15,115.1,5.0
06/14/2023 06:22:41,17.18,115.7,5.0
06/14/2023 06:22:42,18.11,116.0,4.99
06/14/2023 06:22:43,18.87,115.7,4.99
06/14/2023 06:22:44,18.78,115.7,4.99
06/14/2023 06:22:45,18.81,116.0,4.99
06/14/2023 06:22:46,18.84,115.7,5.0
06/14/2023 06:22:47,18.9,115.7,5.0
06/14/2023 06:22:48,18.93,116.2,5.0
06/14/2023 06:22:48,18.9,116.2,5.0
06/14/2023 06:22:49,18.9,116.4,4.99
06/14/2023 06:22:50,18.84,116.0,4.99
06/14/2023 06:22:51,18.75,115.5,4.99
06/14/2023 06:22:52,18.6,115.8,4.99
06/14/2023 06:22:53,17.87,115.7,4.98
06/14/2023 06:22:54,17.06,115.5,4.99
06/14/2023 06:22:55,16.39,115.5,4.98
06/14/2023 06:22:56,15.66,115.3,4.99
06/14/2023 06:22:57,14.91,115.8,4.99
06/14/2023 06:22:58,14.15,115.3,5.0
06/14/2023 06:22:59,13.34,115.1,4.99
06/14/2023 06:23:00,12.7,115.1,4.98
06/14/2023 06:23:01,11.98,115.1,4.98
06/14/2023 06:23:02,11.37,115.5,4.98
06/14/2023 06:23:03,10.64,115.0,4.99
06/14/2023 06:23:04,9.86,115.3,4.99
06/14/2023 06:23:05,9.22,114.9,4.99
06/14/2023 06:23:06,8.53,114.8,5.0
06/14/2023 06:23:07,7.92,114.8,5.0
06/14/2023 06:23:08,7.32,114.8,5.01
06/14/2023 06:23:09,6.56,115.3,5.02
