Time,Depth,Conductivity,Temperature
06/14/2023 05:52:22,-10.1,41.42,16.87
06/14/2023 05:52:23,-10.1,41.59,16.89
06/14/2023 05:52:24,-10.16,40.52,16.93
06/14/2023 05:52:25,-10.13,40.35,17.16
06/14/2023 05:52:26,-10.16,41.05,17.43
06/14/2023 05:52:27,-10.19,40.52,17.67
06/14/2023 05:52:28,-10.19,40.34,17.89
06/14/2023 05:52:29,-10.13,40.7,18.08
06/14/2023 05:52:30,-10.16,40.88,18.22
06/14/2023 05:52:31,-10.19,40.34,18.36
06/14/2023 05:52:32,-10.16,40.69,18.49
06/14/2023 05:52:33,-10.16,40.53,18.59
06/14/2023 05:52:34,-10.16,40.52,18.68
06/14/2023 05:52:35,-10.13,39.82,18.78
06/14/2023 05:52:36,-10.19,40.88,18.86
06/14/2023 05:52:37,-10.16,40.17,18.96
06/14/2023 05:52:38,-10.19,40.69,19.03
06/14/2023 05:52:39,-10.13,41.04,19.06
06/14/2023 05:52:40,-10.16,40.88,18.78
06/14/2023 05:52:41,-10.13,36.61,18.49
06/14/2023 05:52:42,-10.19,18.94,18.27
06/14/2023 05:52:43,-10.19,19.81,18.08
06/14/2023 05:52:44,-10.13,20.16,17.94
06/14/2023 05:52:45,-10.16,19.46,17.82
06/14/2023 05:52:46,-10.16,27.75,17.75
06/14/2023 05:52:47,-10.19,25.8,17.69
06/14/2023 05:52:48,-10.1,23.86,17.67
06/14/2023 05:52:48,-10.22,22.63,17.6
06/14/2023 05:52:49,-10.16,138.4,17.52
06/14/2023 05:52:50,-10.13,148.0,17.53
06/14/2023 05:52:51,-10.19,154.7,17.53
06/14/2023 05:52:52,-10.16,151.9,17.44
06/14/2023 05:52:53,-10.1,152.1,17.3
06/14/2023 05:52:54,-10.04,152.1,16.04
06/14/2023 05:52:55,-9.98,151.9,15.54
06/14/2023 05:52:56,-10.01,151.7,15.28
06/14/2023 05:52:57,-10.04,151.4,15.12
06/14/2023 05:52:58,-10.1,151.2,15.02
06/14/2023 05:52:59,-10.13,151.5,14.97
