Time,Depth,Conductivity,Temperature
06/14/2023 06:03:05,-10.19,45.61,19.06
06/14/2023 06:03:06,-10.16,24.36,19.08
06/14/2023 06:03:07,-10.16,37.42,19.1
06/14/2023 06:03:08,-10.19,31.06,19.14
06/14/2023 06:03:09,-10.25,24.52,19.15
06/14/2023 06:03:10,-10.16,23.82,19.18
06/14/2023 06:03:11,-10.19,23.47,19.23
06/14/2023 06:03:12,-10.19,22.76,19.32
06/14/2023 06:03:13,-10.19,21.88,19.41
06/14/2023 06:03:14,-10.19,21.18,19.52
06/14/2023 06:03:15,-10.19,21.18,19.58
06/14/2023 06:03:16,-10.16,129.5,19.57
06/14/2023 06:03:17,-10.19,156.2,19.48
06/14/2023 06:03:18,-10.19,154.5,19.5
06/14/2023 06:03:18,-10.13,154.7,17.54
06/14/2023 06:03:19,-10.1,154.7,16.45
06/14/2023 06:03:20,-10.1,154.7,15.97
06/14/2023 06:03:21,-10.04,154.7,15.72
06/14/2023 06:03:22,-10.04,154.1,15.59
06/14/2023 06:03:23,-9.98,154.7,15.49
06/14/2023 06:03:24,-10.01,154.3,15.48
06/14/2023 06:03:25,-10.01,153.8,15.48
06/14/2023 06:03:26,-9.95,154.1,15.49
06/14/2023 06:03:27,-10.01,154.0,15.47
06/14/2023 06:03:28,-9.95,154.7,15.48
06/14/2023 06:03:29,-10.01,154.3,15.47
06/14/2023 06:03:30,-9.74,153.0,15.47
06/14/2023 06:03:31,-9.47,152.1,15.41
06/14/2023 06:03:32,-9.35,150.9,15.18
06/14/2023 06:03:33,-9.16,150.6,14.97
06/14/2023 06:03:34,-8.71,149.3,14.63
06/14/2023 06:03:35,-8.17,145.7,14.33
06/14/2023 06:03:36,-8.05,145.2,14.13
06/14/2023 06:03:37,-7.86,142.8,13.84
06/14/2023 06:03:38,-7.59,141.9,13.38
06/14/2023 06:03:39,-7.56,141.1,13.08
06/14/2023 06:03:40,-7.47,140.7,12.73
06/14/2023 06:03:41,-7.35,140.2,12.48
06/14/2023 06:03:42,-7.14,137.4,12.28
06/14/2023 06:03:43,-7.02,135.1,12.09
06/14/2023 06:03:44,-6.9,132.9,11.89
06/14/2023 06:03:45,-6.81,130.0,11.58
06/14/2023 06:03:46,-6.65,130.1,11.11
06/14/2023 06:03:47,-6.5,128.7,10.56
06/14/2023 06:03:48,-6.29,125.7,9.77
06/14/2023 06:03:49,-6.17,125.2,9.25
06/14/2023 06:03:50,-5.78,125.0,8.83
06/14/2023 06:03:51,-5.44,122.8,8.3
06/14/2023 06:03:52,-5.23,123.4,8.0
06/14/2023 06:03:53,-4.93,122.2,7.69
06/14/2023 06:03:54,-4.99,122.0,7.46
06/14/2023 06:03:55,-4.51,120.8,7.36
06/14/2023 06:03:56,-4.05,119.3,7.05
06/14/2023 06:03:57,-4.05,119.3,6.81
06/14/2023 06:03:58,-3.81,118.7,6.67
06/14/2023 06:03:59,-3.42,118.7,6.5
06/14/2023 06:04:00,-3.21,118.0,6.35
06/14/2023 06:04:01,-2.93,117.6,6.26
06/14/2023 06:04:02,-2.93,117.4,6.13
06/14/2023 06:04:03,-2.54,116.0,6.06
06/14/2023 06:04:04,-2.51,116.0,5.89
06/14/2023 06:04:06,-2.24,116.0,5.65
06/14/2023 06:04:07,-1.91,116.2,5.59
06/14/2023 06:04:08,-1.63,115.6,5.53
06/14/2023 06:04:09,-1.3,115.4,5.46
06/14/2023 06:04:10,-1.09,115.6,5.39
06/14/2023 06:04:11,-0.91,115.1,5.34
06/14/2023 06:04:12,-0.82,115.4,5.31
06/14/2023 06:04:13,-0.76,115.1,5.3
06/14/2023 06:04:14,-0.42,115.2,5.27
06/14/2023 06:04:15,-0.15,114.7,5.25
06/14/2023 06:04:16,0.03,114.9,5.24
06/14/2023 06:04:17,0.33,115.0,5.21
06/14/2023 06:04:18,0.51,114.9,5.19
06/14/2023 06:04:19,0.73,115.1,5.17
06/14/2023 06:04:20,0.97,114.7,5.16
06/14/2023 06:04:20,1.33,114.7,5.15
06/14/2023 06:04:21,1.36,114.9,5.15
06/14/2023 06:04:22,1.69,114.9,5.15
06/14/2023 06:04:23,2.18,114.9,5.15
06/14/2023 06:04:24,2.6,115.1,5.14
06/14/2023 06:04:25,3.05,114.5,5.13
06/14/2023 06:04:26,3.75,115.1,5.13
06/14/2023 06:04:27,4.35,115.4,5.12
06/14/2023 06:04:28,4.9,115.1,5.12
06/14/2023 06:04:29,5.53,115.6,5.11
06/14/2023 06:04:30,6.02,115.8,5.1
06/14/2023 06:04:31,6.47,115.8,5.08
06/14/2023 06:04:32,7.26,115.4,5.08
06/14/2023 06:04:33,7.86,115.5,5.07
06/14/2023 06:04:34,8.38,116.2,5.07
06/14/2023 06:04:35,8.89,116.2,5.05
06/14/2023 06:04:36,9.53,116.0,5.05
06/14/2023 06:04:37,9.98,116.2,5.04
06/14/2023 06:04:38,10.55,116.4,5.04
06/14/2023 06:04:39,11.37,116.0,5.04
06/14/2023 06:04:40,12.31,116.0,5.03
06/14/2023 06:04:41,13.12,115.8,5.03
06/14/2023 06:04:42,13.85,116.2,5.03
06/14/2023 06:04:43,14.52,116.8,5.02
06/14/2023 06:04:44,15.09,116.6,5.03
06/14/2023 06:04:45,15.7,116.6,5.03
06/14/2023 06:04:46,16.15,116.6,5.03
06/14/2023 06:04:47,16.84,115.8,5.03
06/14/2023 06:04:48,17.72,116.0,5.02
06/14/2023 06:04:49,18.54,116.6,5.02
06/14/2023 06:04:50,19.48,116.8,5.01
06/14/2023 06:04:51,20.38,116.6,5.01
06/14/2023 06:04:52,21.29,116.7,5.01
06/14/2023 06:04:53,22.08,116.7,5.0
06/14/2023 06:04:54,22.86,116.6,5.0
06/14/2023 06:04:55,23.71,116.6,4.99
06/14/2023 06:04:56,24.59,117.1,4.99
06/14/2023 06:04:57,25.25,116.4,5.0
