Time,Depth,Conductivity,Temperature
06/14/2023 05:34:45,-10.19,2.09,22.23
06/14/2023 05:34:46,-10.16,2.09,22.29
06/14/2023 05:34:46,-10.19,2.43,22.38
06/14/2023 05:34:47,-10.19,2.09,22.39
06/14/2023 05:34:48,-10.19,2.09,22.42
06/14/2023 05:34:49,-10.13,2.26,22.37
06/14/2023 05:34:50,-10.13,2.26,22.45
06/14/2023 05:34:51,-10.16,2.09,22.51
06/14/2023 05:34:52,-10.19,2.43,22.47
06/14/2023 05:34:53,-10.19,141.2,22.35
06/14/2023 05:34:54,-10.13,108.1,22.26
06/14/2023 05:34:55,-10.01,157.9,21.63
06/14/2023 05:34:56,-9.83,157.5,17.93
06/14/2023 05:34:57,-9.77,157.8,16.86
06/14/2023 05:34:58,-9.74,158.3,16.37
06/14/2023 05:34:59,-9.8,157.5,16.02
06/14/2023 05:35:00,-9.77,158.3,15.8
06/14/2023 05:35:01,-9.77,157.3,15.62
06/14/2023 05:35:02,-9.83,157.9,15.54
06/14/2023 05:35:03,-9.89,158.1,15.51
06/14/2023 05:35:04,-9.89,156.4,15.49
06/14/2023 05:35:05,-9.86,156.8,15.45
06/14/2023 05:35:06,-9.86,157.0,15.43
06/14/2023 05:35:07,-9.95,156.4,15.38
06/14/2023 05:35:08,-9.89,156.4,15.4
06/14/2023 05:35:09,-9.92,156.4,15.36
06/14/2023 05:35:10,-9.98,156.7,15.38
06/14/2023 05:35:11,-9.92,156.1,15.39
06/14/2023 05:35:12,-9.95,156.4,15.38
06/14/2023 05:35:13,-9.95,156.1,15.38
06/14/2023 05:35:14,-9.92,155.9,15.37
06/14/2023 05:35:15,-9.92,155.9,15.35
06/14/2023 05:35:16,-9.95,156.1,15.35
06/14/2023 05:35:17,-9.98,155.7,15.33
06/14/2023 05:35:18,-9.95,155.3,15.34
06/14/2023 05:35:19,-9.98,155.2,15.34
06/14/2023 05:35:20,-10.01,155.9,15.33
06/14/2023 05:35:21,-10.01,155.7,15.31
06/14/2023 05:35:22,-10.1,155.5,15.31
06/14/2023 05:35:23,-10.04,155.5,15.31
06/14/2023 05:35:24,-10.01,155.5,15.3
06/14/2023 05:35:25,-10.04,155.5,15.28
06/14/2023 05:35:26,-10.04,155.7,15.26
06/14/2023 05:35:27,-10.01,155.0,15.27
06/14/2023 05:35:28,-10.04,155.3,15.27
06/14/2023 05:35:29,-9.98,154.6,15.26
06/14/2023 05:35:30,-10.01,155.7,15.25
06/14/2023 05:35:31,-10.01,155.7,15.25
06/14/2023 05:35:32,-10.01,155.7,15.26
06/14/2023 05:35:33,-10.01,155.7,15.26
06/14/2023 05:35:34,-10.01,155.7,15.25
06/14/2023 05:35:35,-10.07,155.9,15.23
06/14/2023 05:35:36,-10.13,155.1,15.22
06/14/2023 05:35:37,-10.16,155.5,15.25
06/14/2023 05:35:38,-10.1,155.4,15.28
06/14/2023 05:35:39,-10.1,155.5,15.32
06/14/2023 05:35:40,-10.07,155.3,15.34
06/14/2023 05:35:41,-10.1,155.0,15.35
06/14/2023 05:35:42,-10.07,155.1,15.33
06/14/2023 05:35:43,-10.01,155.1,15.28
06/14/2023 05:35:43,-9.83,155.2,15.26
06/14/2023 05:35:44,-9.8,154.1,15.25
06/14/2023 05:35:46,-9.77,154.2,15.24
06/14/2023 05:35:47,-9.74,153.5,15.23
06/14/2023 05:35:48,-9.74,154.4,15.2
06/14/2023 05:35:49,-9.74,154.6,15.21
06/14/2023 05:35:50,-9.74,155.0,15.2
06/14/2023 05:35:51,-9.77,154.4,15.21
06/14/2023 05:35:52,-9.74,153.7,15.21
06/14/2023 05:35:53,-9.62,153.7,15.2
06/14/2023 05:35:54,-9.62,153.0,15.16
